,Track_ID,Track_Title,Track_Artist,Track_Popularity,Track_URL,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acoutsicness,Instrumentalness,Liveness,Valence,Tempo
14103,79npyDDCb3tyrj9qjxRAzx,The Vibe,Amorphous,53,https://p.scdn.co/mp3-preview/9cd5bfdc339c348220fa4ac8d7254dfee3d29401?cid=1346ad7fd5d14060af96cc4eaf61e382,0.821,0.631,1,-7.659,0,0.0923,0.0441,0.000599,0.151,0.404,117.996
14104,3E4gPkcqnyaAnv1nrdukwp,The View From Halfway Down - Spotify Singles,Jhariah,35,https://p.scdn.co/mp3-preview/3cf77d1f65ee9c74decb4b5e25c13970ed5e9346?cid=1346ad7fd5d14060af96cc4eaf61e382,0.452,0.63,5,-9.417,1,0.0443,0.00369,2.76e-05,0.301,0.11,112.988
14105,5Yre5nDZJT72hl9kV2nGp3,THE VISION (feat. Anderson .Paak),Maxo Kream,43,https://p.scdn.co/mp3-preview/c32cfce37e5aff59473ab78c6861688d3b76f1c3?cid=1346ad7fd5d14060af96cc4eaf61e382,0.836,0.707,5,-7.322,1,0.322,0.239,0.0,0.624,0.748,139.51
14108,2o1dvKh58G11C51Y9EgBs3,The War (feat. Young Thug),Joyner Lucas,54,https://p.scdn.co/mp3-preview/90f5c723af157aa8809b4d65f21f15030d8e4b8b?cid=1346ad7fd5d14060af96cc4eaf61e382,0.808,0.377,8,-10.098,0,0.0961,0.569,1.75e-05,0.097,0.308,126.096
14109,0AeKE6Cz7EPw9Eld1tJ6fz,The War Inside (feat. Chris Stapleton),Tom Morello,42,https://p.scdn.co/mp3-preview/1fbfc57b83c6b6124e0e8e8bc8d58a05d546c40a?cid=1346ad7fd5d14060af96cc4eaf61e382,0.271,0.611,0,-3.218,0,0.0324,0.000456,0.118,0.127,0.287,142.681
14110,2lskONPiHzHXDUxaxn6sdK,The Way,Dennis Lloyd,47,https://p.scdn.co/mp3-preview/c565307ed1680852d21effcca7430364b356661f?cid=1346ad7fd5d14060af96cc4eaf61e382,0.767,0.539,11,-6.204,0,0.0468,0.00683,4.29e-06,0.0775,0.499,112.983
14111,54JD6jMGpa3tLAgkSYdLwf,The Way,Trippie Redd,45,https://p.scdn.co/mp3-preview/76ef153daeebc686b94de7c52fbd3c01bd574aef?cid=1346ad7fd5d14060af96cc4eaf61e382,0.789,0.564,1,-9.513,0,0.166,0.17,1.03e-05,0.138,0.52,145.97
14112,1lzvc17qKf2CyIOSWUEH4p,The Way I Love You,Michal Leah,68,https://p.scdn.co/mp3-preview/68fe1fad3f509594dbb8dc517fc2cd87efae491a?cid=1346ad7fd5d14060af96cc4eaf61e382,0.66,0.261,4,-9.362,1,0.0403,0.904,0.0,0.101,0.298,120.258
14113,2Ox7xfLVrJQR84VjdIY7pU,The Way I Oughta Go,Bella White,40,https://p.scdn.co/mp3-preview/56b5299d5a437f47bd4c7628b8d0854a87483d56?cid=1346ad7fd5d14060af96cc4eaf61e382,0.635,0.763,10,-4.457,1,0.0323,0.298,1.11e-05,0.067,0.707,137.155
14115,3Ds1rReoW8ixyfCTe2R0zR,The Way We Were (feat. Plested),Kygo,72,https://p.scdn.co/mp3-preview/bf197ad33037ab03b315333dfb15896fd4a53c12?cid=1346ad7fd5d14060af96cc4eaf61e382,0.595,0.589,2,-6.961,1,0.0452,0.198,0.0,0.103,0.256,122.037
14116,6XdHZr9iXdqc4Q76wtgbqr,The Way You Felt,Alec Benjamin,61,https://p.scdn.co/mp3-preview/e1bd77bf66b9589f7b294f93e8308bcbea25a66c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.872,0.52,0,-6.928,1,0.0618,0.715,0.0,0.0982,0.736,131.918
14117,6Bs5nI15JPJyZ90HMs5GR3,The Way You Look Tonight (feat. Keelan Donovan),Tenille Townes,36,https://p.scdn.co/mp3-preview/7ecb55a739e1205e21b61f44eebdd323d01406d4?cid=1346ad7fd5d14060af96cc4eaf61e382,0.675,0.885,5,-4.167,1,0.0355,0.00922,2.79e-06,0.119,0.664,108.003
14118,5q3LwAHTqo9d3rET2EA9Nq,The Weekend,88rising,71,https://p.scdn.co/mp3-preview/6d55bfa417372b1f14a5f8462caf4970b35a3da8?cid=1346ad7fd5d14060af96cc4eaf61e382,0.784,0.521,1,-5.701,1,0.0322,0.062,4.75e-06,0.0995,0.817,101.491
14120,3QKcv32c31JrHs1YqtnqRB,The Wire,Patrick Droney,36,https://p.scdn.co/mp3-preview/8ae2d869052b40e2281281ef1d418f7e0cbfa18b?cid=1346ad7fd5d14060af96cc4eaf61e382,0.509,0.881,2,-3.169,1,0.0498,0.00525,0.00281,0.0729,0.268,94.983
14122,5HyHnZ6aSdORxyY24BWkdo,The Wire (feat. Rich Homie Quan),Shordie Shordie,43,https://p.scdn.co/mp3-preview/567c764c869804cf82ef08e4dc7f99b22bf78f0a?cid=1346ad7fd5d14060af96cc4eaf61e382,0.623,0.858,10,-3.321,0,0.101,0.107,0.0,0.318,0.635,155.056
14123,1TGgecSsU9hwzNoiTb3yAO,The Woman I Am,AURORA,46,https://p.scdn.co/mp3-preview/a356c4918553eed2da458a215c7a0dd8f27a879c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.64,0.798,0,-7.39,1,0.0501,0.0999,0.00598,0.277,0.435,110.021
14124,3Sov5oiUCNxw1SvljM31V9,The Woman I've Become,Jessie James Decker,34,https://p.scdn.co/mp3-preview/6b3972f03bcbce54f27b17330c7b958dd06f9644?cid=1346ad7fd5d14060af96cc4eaf61e382,0.368,0.721,1,-5.362,1,0.0426,0.372,0.0,0.305,0.259,74.888
14125,1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,75,https://p.scdn.co/mp3-preview/263258202abcbc05000b0b234e3aee9866918add?cid=1346ad7fd5d14060af96cc4eaf61e382,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7
14126,76SxmG14UWCYPcva2nZxKM,The Word,Alec Wigdahl,30,https://p.scdn.co/mp3-preview/4bf7c7f9e5a87c84ecb390ebe24f08ded1f2f06f?cid=1346ad7fd5d14060af96cc4eaf61e382,0.551,0.558,6,-9.522,1,0.263,0.299,0.00199,0.139,0.594,112.148
14127,2KnfMlqUIr2RLFIRlCQzhw,The World,Benny Sings,54,https://p.scdn.co/mp3-preview/4b886778662bcc3ba577d976f2e2f5aedeb485a3?cid=1346ad7fd5d14060af96cc4eaf61e382,0.754,0.515,1,-9.45,1,0.0528,0.454,0.000265,0.0853,0.929,94.986
14129,3Wi5kb6xiNss8WBJyXniyT,The World Is Yours,Jackboy,22,https://p.scdn.co/mp3-preview/d6ab8fea1dbea5142a8d43297f62051c9ccfe064?cid=1346ad7fd5d14060af96cc4eaf61e382,0.808,0.565,0,-7.718,0,0.223,0.149,0.0,0.384,0.842,158.016
14130,5GOScDxUt3v3UP0SqfFwXJ,The World Is Yours,Lil Poppa,41,https://p.scdn.co/mp3-preview/c75f5fdb94638d36bce2b30695a893a906dbd604?cid=1346ad7fd5d14060af96cc4eaf61e382,0.638,0.666,7,-4.02,0,0.0714,0.0877,0.0,0.325,0.23,83.941
14131,5WzicSXo6xz6oMl9etoTMJ,The World Is Yours,Masiwei,17,https://p.scdn.co/mp3-preview/34beb222b79dbb6b7c33c1f8baf7cb74d2b685d9?cid=1346ad7fd5d14060af96cc4eaf61e382,0.724,0.753,7,-2.471,0,0.171,0.326,0.0,0.138,0.643,135.027
14132,1tpJ6wdE1jOg8aThxas4oR,The World We Left Behind (feat. KARRA),KSHMR,36,https://p.scdn.co/mp3-preview/8b20950ed229466aa745a786ca4e25d9fa49dbc7?cid=1346ad7fd5d14060af96cc4eaf61e382,0.483,0.82,5,-7.586,0,0.052,0.0149,1.76e-06,0.101,0.275,101.036
14133,4cOVTA2GfYTHw99AJDQpHo,The Worst In Me,KAYTRANADA,57,https://p.scdn.co/mp3-preview/1c9824113f57e1acf5fc56892a53f7622f8b75fd?cid=1346ad7fd5d14060af96cc4eaf61e382,0.784,0.645,10,-7.325,0,0.402,0.00936,0.000132,0.117,0.59,109.978
14134,06rX4GEEjsVTSbRBWycs2U,The Worst Of You,PJ Harding,58,https://p.scdn.co/mp3-preview/5015c8cbf0a82d5c6f3fa8ad1c562e554d0db4dd?cid=1346ad7fd5d14060af96cc4eaf61e382,0.555,0.35,10,-10.955,0,0.0503,0.791,6.64e-06,0.11,0.404,77.772
14136,6s9qov2o5dUVUVut2jB45K,THE_EVIL_THAT_MEN_DO,$uicideboy$,58,https://p.scdn.co/mp3-preview/48058e1b2d659a1d928df02325f34a658bd3cf89?cid=1346ad7fd5d14060af96cc4eaf61e382,0.566,0.547,1,-9.777,0,0.135,0.132,0.000166,0.538,0.267,70.0
14137,53X5Z0FwNUnCNb5mu61QG1,TheHoodDoctor,NoCap,32,https://p.scdn.co/mp3-preview/4ccf7ac875e93e1a006895025e89b5d251f3ae20?cid=1346ad7fd5d14060af96cc4eaf61e382,0.644,0.661,7,-8.143,0,0.37,0.0296,0.0,0.113,0.529,162.194
14138,4UxATpWvXewD5EZUW01EeQ,Thelma + Louise,Bastille,57,https://p.scdn.co/mp3-preview/2774f510f61c04e18affb40b533d2f41d2cd09e7?cid=1346ad7fd5d14060af96cc4eaf61e382,0.766,0.83,9,-3.335,1,0.1,0.0146,0.0,0.035,0.756,121.948
14139,08dXaiP8qdpvQqGKv5rUqE,Theme For The People,Logic,50,https://p.scdn.co/mp3-preview/2d33974a4857a373df682beefd3f66c2ccf17591?cid=1346ad7fd5d14060af96cc4eaf61e382,0.793,0.908,2,-4.021,0,0.058,0.618,0.0,0.105,0.836,138.055
14140,5sFIYKbII6QzRT57hCza5Z,then i met her,EKKSTACY,69,https://p.scdn.co/mp3-preview/11c967249e807a10e2c1fcb9ec343dffee911dde?cid=1346ad7fd5d14060af96cc4eaf61e382,0.457,0.869,1,-7.639,1,0.0279,0.00226,0.02,0.256,0.434,157.061
14142,3HOwzZCW4jgwls1nX215Ie,Then There Were Two,Mark Ronson,46,https://p.scdn.co/mp3-preview/5f22280f53fed2af7e759bed39f17f6741ef5a1d?cid=1346ad7fd5d14060af96cc4eaf61e382,0.657,0.771,0,-4.268,1,0.254,0.265,0.0,0.103,0.793,164.749
14144,6OUrBmQIKUuxvULhoxutOq,Therapy,Ross Copperman,20,https://p.scdn.co/mp3-preview/22942342579bda30c5d69c195664e39d814bc491?cid=1346ad7fd5d14060af96cc4eaf61e382,0.693,0.437,9,-10.252,1,0.0309,0.476,0.0,0.235,0.504,101.075
14145,1qIATFQg93M6KvhPh9QSNc,Therapy,Stonebwoy,54,https://p.scdn.co/mp3-preview/38a5c6effe6f7a1a968eb296376fb7e462e6a53e?cid=1346ad7fd5d14060af96cc4eaf61e382,0.567,0.72,5,-5.428,0,0.229,0.0456,3.04e-06,0.167,0.436,188.128
14146,16QlvcrfQPyRLfbxcXu0VG,Therapy,Timmy Trumpet,57,https://p.scdn.co/mp3-preview/f1ff2ac6b882a915cc6f6bb380f8db39daae8b4a?cid=1346ad7fd5d14060af96cc4eaf61e382,0.504,0.896,10,-6.249,0,0.044,0.00183,0.0284,0.134,0.0393,149.936
14148,3WRT8uD7wYPzIJagtFRVjF,Therapy Music (feat. Russ),Logic,54,https://p.scdn.co/mp3-preview/b1ac4abf0ac8debe498714821b66a2326223d0f9?cid=1346ad7fd5d14060af96cc4eaf61e382,0.786,0.718,1,-3.451,0,0.301,0.407,0.0,0.665,0.465,92.04
14149,5dNQ0AsPitoIQSRbsXKKwE,Therapy pt. 2 [Feat. Mac Miller],Robert Glasper,60,https://p.scdn.co/mp3-preview/2c6ab2b1ff4c807ce76ce0e24bfbd17b393cb619?cid=1346ad7fd5d14060af96cc4eaf61e382,0.603,0.885,10,-5.67,0,0.432,0.0875,0.0,0.169,0.735,164.103
14150,0nr17JLngPjJI66XdvjydV,There For You,Nicklas Sahl,35,https://p.scdn.co/mp3-preview/b6969c48853dc7cd53f9dd3ac120f3b439af3188?cid=1346ad7fd5d14060af96cc4eaf61e382,0.787,0.659,5,-6.871,1,0.0512,0.0164,1.38e-06,0.0996,0.2,95.016
14151,6pW1zSKjttBlcZ8mcogTZk,There For You,Tommee Profitt,35,https://p.scdn.co/mp3-preview/b4f875055b82f3f5f676fd7728b19000728b2346?cid=1346ad7fd5d14060af96cc4eaf61e382,0.446,0.26,0,-6.912,1,0.0332,0.752,0.0,0.129,0.267,134.265
14153,7Hjnh8OnRAmkBwcyAWl3Lr,There She Go (Jack Sparrow) [feat. Mayorkun],Darkoo,38,https://p.scdn.co/mp3-preview/ec3d9dbd31d01c4d0b633bd1a9a4544b3c63c72d?cid=1346ad7fd5d14060af96cc4eaf61e382,0.745,0.842,2,-2.907,1,0.0629,0.101,0.0,0.329,0.481,107.02
14154,0bq8ODkNZMTm2B5WGpYjo4,There She Goes - Spotify Singles,Valley,45,https://p.scdn.co/mp3-preview/de5fb0c05c4d94c4af2e0219e8f01241e393deca?cid=1346ad7fd5d14060af96cc4eaf61e382,0.447,0.303,2,-10.111,1,0.0267,0.874,0.0,0.158,0.296,95.108
14155,7tZ6iUkIibysZmPXA0yLq7,There They Go,Nasty C,37,https://p.scdn.co/mp3-preview/771def6fecc183c1d9672aa1fdd51fceccdf07c8?cid=1346ad7fd5d14060af96cc4eaf61e382,0.887,0.593,1,-8.789,1,0.131,0.335,7.79e-06,0.135,0.746,145.019
14157,2LEparJLsmYGlf51zAquu8,There's Always Next Year,Corey Kent,48,https://p.scdn.co/mp3-preview/3a173cc4c74c9a6d5586c24df5e20756685b7076?cid=1346ad7fd5d14060af96cc4eaf61e382,0.53,0.907,0,-5.591,1,0.0416,0.0112,0.0,0.449,0.679,149.993
14158,54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Billie Eilish,75,https://p.scdn.co/mp3-preview/ca120408036a5ad3fe6eef7b068d40ae104f1552?cid=1346ad7fd5d14060af96cc4eaf61e382,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009
